Metabolite,Amplitude,SD,Phase,Damping,DFreq,Noise_from_LastPts,Estimated_CRB,Workflow,Signal
PCh,2.5535E-1,1.3706E0,0.0000E0,2.8079E1,-8.0000E0,0.0000E0,4.3125E-2,2023-11-13_09:47:47,Rec021_Vox2_quest2
NAAG,7.8889E-1,1.5062E0,0.0000E0,2.8079E1,-5.4737E0,3.1465E-2,4.7391E-2,2023-11-13_09:47:47,Rec021_Vox2_quest2
NAA,3.9445E0,7.5308E0,0.0000E0,2.8079E1,-5.4737E0,3.1465E-2,2.3696E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
GPC,2.2982E-1,1.2335E0,0.0000E0,2.8079E1,-8.0000E0,3.1465E-2,3.8812E-2,2023-11-13_09:47:47,Rec021_Vox2_quest2
Tau,3.4038E0,5.8387E0,0.0000E0,2.8079E1,-7.4388E0,3.1465E-2,1.8371E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
Asp,2.3563E0,1.0841E1,0.0000E0,2.8079E1,-8.0000E0,3.1465E-2,3.4111E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
PE,7.9828E-1,5.7560E0,0.0000E0,2.8079E1,-6.6480E0,3.1465E-2,1.8111E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
Lac,3.9106E0,9.9614E0,0.0000E0,2.8079E1,-2.1316E0,3.1465E-2,3.1344E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
Ala,6.9042E-1,4.4541E0,0.0000E0,2.8079E1,-2.1316E0,3.1465E-2,1.4015E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
Gly,3.6665E-1,9.6146E-1,0.0000E0,2.8079E1,-5.6984E0,3.1465E-2,3.0252E-2,2023-11-13_09:47:47,Rec021_Vox2_quest2
mI,1.8332E0,4.8073E0,0.0000E0,2.8079E1,-5.6984E0,3.1465E-2,1.5126E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
GABA,2.2864E0,5.4098E0,0.0000E0,2.8079E1,-8.0000E0,3.1465E-2,1.7022E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
Gln,2.1173E0,5.1276E0,0.0000E0,2.8079E1,-4.9841E0,3.1465E-2,1.6134E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
Glu,5.9402E0,6.8073E0,0.0000E0,2.8079E1,-4.9841E0,3.1465E-2,2.1419E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
Glc,1.6090E0,5.2669E0,0.0000E0,2.8079E1,-9.5833E-1,3.1465E-2,1.6572E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
PCr,1.0889E0,5.4867E0,0.0000E0,2.8079E1,-6.3094E0,3.1465E-2,1.7264E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
Cre,1.2099E0,6.0963E0,0.0000E0,2.8079E1,-6.3094E0,3.1465E-2,1.9182E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
water1,1.6864E-1,1.1232E0,1.7830E2,2.8079E1,-2.6745E0,3.1465E-2,3.5341E-2,2023-11-13_09:47:47,Rec021_Vox2_quest2
water2,6.2263E-1,1.6830E0,-8.4549E1,2.8079E1,-2.6745E0,3.1465E-2,5.2955E-2,2023-11-13_09:47:47,Rec021_Vox2_quest2
water3,6.3636E-1,1.4716E0,9.3999E1,2.8079E1,-2.6745E0,3.1465E-2,4.6304E-2,2023-11-13_09:47:47,Rec021_Vox2_quest2
